G732731	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/27/31	PRJEB41242	ERR4828895	L4	L4.8		Italy
G30703	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G30/70/3		SRR6896538	L4	L4		South Africa
G717153	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/71/53	PRJEB41199	ERR4813301	L4	L4.3.4.1		Peru
G65014	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G65/01/4		ERR3559819	L2	L2.2.1	2018-01-01 00:00:00.000	China
G755934	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/59/34	PRJNA766641	SRR24799283	L3	L3	2023-01-01 00:00:00.000	United States of America
G51677	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G51/67/7		SRR6936761	L2	L2.2.1/Europe_Russia_W148_Outbreak		Belarus
G11308	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G11/30/8		SRR1163310;SRR1163023	L2	L2.2.1/Europe_Russia_W148_Outbreak		Belarus
G07835	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G07/83/5	PRJEB39561	ERR5863784;ERR5863782;ERR5863783	L2	L2.2.1/Europe_Russia_W148_Outbreak	2015-01-01 00:00:00.000	Georgia
G15948	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G15/94/8		SRR2101813	L4	L4.1.1.3		South Africa
G716502	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/65/02	PRJEB41199	ERR4812650	L4	L4.1.1		Peru
G701821	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G70/18/21	PRJEB53138	ERR9786653	L4	L4.3.2	2013-02-25 00:00:00.000	The Gambia
G705290	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G70/52/90	PRJEB41116	ERR4800677	L4	L4.3.3		India
G733271	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/32/71	PRJEB41242	ERR4828982	L4	L4.1		Italy
G50287	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G50/28/7	PRJNA482716	SRR7755739	L2	L2.2.1/Central_Asia	2014-01-01 00:00:00.000	Moldova
G726059	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/60/59	PRJEB41201	ERR4815830	L6	L6.1.2		United Kingdom
G722623	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/26/23	PRJEB25972	ERR2510276	L3	L3		Pakistan
G730445	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/04/45	PRJEB41201	ERR4820722	L4	L4		United Kingdom
G36537	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G36/53/7		SRR5657493	La1	La1.8.1	2015-01-01 00:00:00.000	Mexico
G723705	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/37/05			L2	L2.2.1/Central_Asia		Georgia
G705644	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G70/56/44	PRJEB41116	ERR4796571	L4	L4.8		India
G61185	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G61/18/5		DRR185045	L4	L4.5		Vietnam
G719117	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/91/17	PRJNA834606	SRR19304051	L4	L4.1.2.1	2017-09-23 00:00:00.000	Italy
G722486	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/24/86	PRJEB41191	ERR4809308	L2	L2.2.1		South Africa
G758718	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/87/18	PRJNA766641	SRR30443622	L4	L4.3.3	2024-01-01 00:00:00.000	United States of America
G743552	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G74/35/52	PRJEB5162	ERR400508	L3	L3	2012-01-01 00:00:00.000	United Kingdom
